"artist_name","Valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","album_name","album_release_year"
"Ed Sheeran",0.734,0.822,0.3,-8.034,0.0673,0.882,0.0665,125.951,"Sandman","= (Tour Edition)",2022
"Ed Sheeran",0.442,0.501,0.684,-6.706,0.0566,0.00494,0.0524,131.952,"Be Right Now","= (Tour Edition)",2022
"Ed Sheeran",0.273,0.641,0.324,-5.851,0.0299,0.698,0.328,110.184,"Afterglow","= (Tour Edition)",2022
"Ed Sheeran",0.425,0.573,0.593,-7.225,0.0299,0.114,0.122,159.978,"One Life","= (Tour Edition)",2022
"Ed Sheeran",0.47,0.709,0.324,-10.975,0.0444,0.79,0.1,99.906,"Penguins","= (Tour Edition)",2022
"Ed Sheeran",0.721,0.743,0.807,-5.917,0.0538,0.404,0.0723,145.01,"I Will Remember You","= (Tour Edition)",2022
"Ed Sheeran",0.426,0.334,0.307,-8.522,0.033,0.818,0.362,169.53,"Welcome To The World","= (Tour Edition)",2022
"Ed Sheeran",0.307,0.528,0.309,-7.398,0.0329,0.924,0.282,133.83,"The Joker And The Queen (feat. Taylor Swift)","= (Tour Edition)",2022
"Ed Sheeran",0.477,0.693,0.643,-5.867,0.0828,0.138,0.108,95.055,"2step (feat. Lil Baby)","= (Tour Edition)",2022
"Ed Sheeran",0.178,0.59,0.849,-4.691,0.0792,0.0305,0.11,131.018,"Bad Habits (feat. Bring Me The Horizon)","= (Tour Edition)",2022
"Ed Sheeran",0.714,0.956,0.417,-7.892,0.0926,0.572,0.0782,108.015,"Peru","= (Tour Edition)",2022
"Ed Sheeran",0.427,0.631,0.825,-3.971,0.0433,0.0167,0.122,129.942,"Tides","=",2021
"Ed Sheeran",0.822,0.788,0.859,-2.724,0.0856,0.281,0.0424,141.02,"Shivers","=",2021
"Ed Sheeran",0.352,0.587,0.267,-9.206,0.0349,0.84,0.121,98.845,"First Times","=",2021
"Ed Sheeran",0.537,0.807,0.893,-3.745,0.0347,0.0451,0.366,126.011,"Bad Habits","=",2021
"Ed Sheeran",0.774,0.52,0.849,-3.794,0.186,0.00253,0.119,175.908,"Overpass Graffiti","=",2021
"Ed Sheeran",0.289,0.567,0.211,-9.975,0.0315,0.952,0.275,134.019,"The Joker And The Queen","=",2021
"Ed Sheeran",0.54,0.578,0.558,-5.438,0.0872,0.236,0.143,75.087,"Leave Your Life","=",2021
"Ed Sheeran",0.559,0.672,0.73,-4.77,0.0372,0.113,0.0612,123.969,"Collide","=",2021
"Ed Sheeran",0.632,0.763,0.661,-5.592,0.056,0.169,0.117,95.002,"2step","=",2021
"Ed Sheeran",0.743,0.686,0.765,-4.778,0.118,0.0122,0.127,99.998,"Stop The Rain","=",2021
"Ed Sheeran",0.426,0.485,0.54,-5.4,0.0253,0.668,0.0849,62.631,"Love In Slow Motion","=",2021
"Ed Sheeran",0.263,0.471,0.396,-6.654,0.0336,0.77,0.0729,149.609,"Visiting Hours","=",2021
"Ed Sheeran",0.734,0.822,0.3,-8.034,0.0673,0.882,0.0665,125.951,"Sandman","=",2021
"Ed Sheeran",0.442,0.501,0.684,-6.706,0.0566,0.00494,0.0524,131.952,"Be Right Now","=",2021
"Ed Sheeran",0.477,0.693,0.643,-5.867,0.0828,0.138,0.108,95.055,"2step (feat. Lil Baby)","2step (The Remixes)",2021
"Ed Sheeran",0.685,0.727,0.69,-5.063,0.0721,0.16,0.137,94.935,"2step (feat. Ultimo)","2step (The Remixes)",2021
"Ed Sheeran",0.552,0.726,0.671,-5.402,0.161,0.14,0.139,95.053,"2step (feat. Potter Payper)","2step (The Remixes)",2021
"Ed Sheeran",0.599,0.506,0.695,-5.185,0.105,0.235,0.151,93.75,"2step (feat. Antytila)","2step (The Remixes)",2021
"Ed Sheeran",0.522,0.73,0.701,-5.318,0.0447,0.273,0.0657,94.97,"2step (feat. Leto)","2step (The Remixes)",2021
"Ed Sheeran",0.615,0.705,0.741,-4.33,0.0683,0.167,0.216,94.962,"2step (feat. Ellinoora)","2step (The Remixes)",2021
"Ed Sheeran",0.617,0.674,0.663,-5.084,0.084,0.157,0.13,94.818,"2step (feat. 1.Cuz)","2step (The Remixes)",2021
"Ed Sheeran",0.565,0.727,0.621,-4.784,0.0555,0.212,0.114,94.958,"2step (feat. Budjerah)","2step (The Remixes)",2021
